时间,店铺名称,商品名称,价格,屏幕尺寸,分辨率,链接
2020-12-11 16:31:43.750038,TCL电视京东自营旗舰店,TCL65V8,3699.0,屏幕尺寸：65英寸,分辨率：4k超高清（3840×2160）,https://item.jd.com/100006429493.html
2020-12-11 16:31:45.751986,小米京东自营旗舰店,小米L60M5-4A,2399.0,屏幕尺寸：58-60英寸,分辨率：4k超高清（3840×2160）,https://item.jd.com/100012354238.html
2020-12-11 16:31:47.843854,小米京东自营旗舰店,小米L70M5-4A,3599.0,屏幕尺寸：70-75英寸,分辨率：4k超高清（3840×2160）,https://item.jd.com/100008268466.html
2020-12-11 16:31:50.259609,小米京东自营旗舰店,小米L55R6-A,2099.0,屏幕尺寸：55英寸,分辨率：4k超高清（3840×2160）,https://item.jd.com/100008697687.html
2020-12-11 16:31:52.539223,SONY京东自营官方旗舰店,索尼KD-55X9100H,4699.0,货号：KD-55X9100H,能效等级：三级能效,https://item.jd.com/100007346955.html
2020-12-11 16:31:54.368765,荣耀京东自营旗舰店,华为LOK-350,2529.0,屏幕尺寸：55英寸,分辨率：4k超高清（3840×2160）,https://item.jd.com/100013116298.html
2020-12-11 16:31:56.557109,TCL电视京东自营旗舰店,TCL55V8,2699.0,屏幕尺寸：55英寸,分辨率：4k超高清（3840×2160）,https://item.jd.com/100006429491.html
2020-12-11 16:31:58.614788,海信京东自营旗舰店,海信60E3F,2299.0,屏幕尺寸：58-60英寸,分辨率：4k超高清（3840×2160）,https://item.jd.com/100007300763.html
2020-12-11 16:32:00.475940,TCL电视京东自营旗舰店,TCL55L8,1999.0,屏幕尺寸：55英寸,分辨率：4k超高清（3840×2160）,https://item.jd.com/100007528447.html
2020-12-11 16:32:02.476356,TCL电视京东自营旗舰店,TCL50L2,1699.0,屏幕尺寸：48-50英寸,分辨率：4k超高清（3840×2160）,https://item.jd.com/8812627.html
2020-12-11 16:32:04.681432,海信京东自营旗舰店,海信75E3F,4599.0,屏幕尺寸：70-75英寸,分辨率：4k超高清（3840×2160）,https://item.jd.com/100008483033.html
